Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
Blake Ink Tattoo & Piercing Studio,,,,+27 76 903 2356,Gateway To Obz - 1 Cranko Rd - Observatory - Cape Town - 7925 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.942437500000004,18.4688125
Kanasashi Tattoos,,,,+27 72 213 5072,86 Victoria Rd - Plumstead - Cape Town - 7801 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 4p.m.,Closed,-34.0315625,18.481437499999984
Cape Tattoo Co,,,https://www.facebook.com/capetattoo/,+27 82 552 9423,Inside Armchair Theatre - 135 Lower Main Rd - Observatory - Cape Town - 7925 - South Africa,,,,,,,,-33.9385625,18.4686875
Moving Art Tattoos And Piercings,,,movingarttattoos.co.za,+27 72 869 8237,18 Monte Vista Blvd - Monte Vista - Cape Town - 7460 - South Africa,,,,,,,,-33.887187499999996,18.553437500000015
Afterlife Ink Tattoos,,,https://www.facebook.com/afterlifetattoos83/,+27 78 743 7712,140 Voortrekker Rd - Goodwood - Cape Town - 7460 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-33.9119375,18.55318750000002
True Colours Tattoo Studio,,,,+27 82 503 7714,G17 - Stadium on Main - 99 Main Rd - Claremont - Cape Town - 7708 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed,-33.9795625,18.465312499999968
Team Black Sheep Tattoos,,,https://www.facebook.com/teamblacksheeptattoocapetown/,+27 79 367 0116,12 Marine Cir - Table View - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5p.m.,Closed,-33.8199375,18.477812499999985
Serenity Tattoos & Piercings Cpt,,,,+27 64 317 1588,11 Vlei St - Parow Valley - Cape Town - 7530 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,10a.m. - 5p.m.,11a.m. - 3p.m.,-33.9154375,18.595187499999994
Illusion Tattoos Supplies (Tattoos & Piercings) (Pty) Ltd.,,,https://www.illusiontattoos.co.za/,+27 62 682 8327,52 Cross Rd - Table View - Cape Town - 7441 - South Africa,,,,,,,,-33.824937500000004,18.516312499999984
Bethaaink_Tattoo & Piercing,,,chrome-error://chromewebdata/,+27 67 884 2957,24 Plein St - Cape Town City Centre - Cape Town - 8000 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,-33.924937500000006,18.42218750000002
The Tattooer,,,https://www.thetattooer.net/,+27 82 456 2858,13th Ave - Boston - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.8933125,18.61456249999999
Black Jack Tattoos,,,heytattoo.co.za,+27 66 434 7976,83 Voortrekker Rd - Glenlily - Cape Town - 8000 - South Africa,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,Closed,-33.906937500000005,18.57893750000001
Studio 52,,,,,Parklands Junction - Parklands Main Rd & Wood Dr - Parklands - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-33.8135625,18.507937499999983
Palm Black Tattoo,,,https://www.instagram.com/palmblacktattoo/,+27 21 461 0622,16B Kloof Nek Rd - Gardens - Cape Town - 8001 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.930437500000004,18.407187500000006
Skullair Tattoo Supplies Cape Town,,,skullair.co.za,+27 81 040 5194,127 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,-33.825812500000005,18.49481249999998
Black Cannon Tattoos,,,bctattoo.co.za,+27 72 732 0482,120 Main Rd - Muizenberg - Cape Town - 7945 - South Africa,Closed,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,Closed,-34.10668750000001,18.46793749999999
Mad Ink Tattoos,,,madink.co.za,+27 71 302 2660,54 McIntyre St - Glenlily - Cape Town - 7500 - South Africa,Closed,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 2p.m.,Closed,-33.90143750000001,18.5876875
Sanctum Design Tattoo Theatre,,,,+27 71 489 0520,Capricorn Beach Estate - 39 Santiago Bay - Sanderling Rd - Muizenberg - Cape Town - 7975 - South Africa,10a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,-34.0978125,18.491062499999984
Sally Mustang Tattoos Cape Town,,,https://www.sallymustangs.co/,+27 21 426 9020,29 Park Ave - Hout Bay - Cape Town - 7806 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-34.0151875,18.35131249999999
Killswitch-Ink,,,,+27 81 499 1138,3 Clarens Rd - Sea Point - Cape Town - 8060 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,9a.m. - 3p.m.,Closed,-33.919812500000006,18.385562499999978
All Hands Tattoo Studio,,,,+27 72 136 2347,77 Main Rd - Muizenberg - Cape Town - 7945 - South Africa,9a.m. - 5p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 5p.m.,-34.1049375,18.468187500000013
Inkrepublik Tattoo Studio,,,,+27 65 676 7289,Shop 13 Village Gate - Main Rd - Hout Bay - Cape Town - 7806 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,9a.m. - 4p.m.,Closed,-34.0454375,18.360812499999994
Ink Cartel Cape Town,,,https://barbercartel.co.za/,+27 79 501 9219,87 Victoria Rd - Camps Bay - Cape Town - 8001 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 3p.m.,-33.9536875,18.377187500000005
Dreaming Ink,,,https://www.instagram.com/dreaminginktattoos/,+27 84 232 0537,34 Palmer Rd - Muizenberg - Cape Town - 7950 - South Africa,Closed,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,Closed,-34.105562500000005,18.469687500000006
Wildfire Tattoo And Body Piercing Studio,,,wildfireza.com,+27 79 244 8699,Unit 4 - Access park - 81 Chichester Rd - Kenilworth - Cape Town - 7708 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 4p.m.,Closed,-33.987812500000004,18.487812499999976
New Dawn Tattoos,,,https://www.facebook.com/newdawntattoos,+27 71 482 1412,136 Edward Rd - Bo Oakdale - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-33.8783125,18.636437499999985
Tools Of Trade Tattoo Studios,,,,+27 65 299 5498,10a Brickfield Park - 18 Brickfield Rd - Woodstock - Cape Town - 7925 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.9346875,18.457062499999992
Master G Inks Cape Town,,,,+27 79 932 8358,261 Main Rd - Sea Point - Cape Town - 8001 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,Closed,10a.m. - 5p.m.,-33.909312500000006,18.395937499999988
Black & White Tattoo Studios - Cape Town,,,blackandwhitetattoostudios.co.za,+27 68 143 2262,Shop 407a - Canal Walk Mall - Century Blvd - Century City - Cape Town - 7441 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-33.8936875,18.50931249999998
The Witch House,,,thewitchhouse.co.za,+27 78 083 5808,34 1st Ave - Claremont - Cape Town - 7708 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.9866875,18.472187500000004
Henna Tattoos,,,hennatattoos.co.za,+27 82 324 3741,"14 Highgrove, - 35 Tokai Rd - Tokai - Cape Town - 7945 - South Africa",8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,Closed,Closed,-34.065562500000006,18.453062499999973
Marshall Law Tattoo Studio,,,,+27 82 223 2269,c/o Jakes Gerwel Drive &Morgenster Road - Mitchells Plain - Cape Town - 7798 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,8a.m. - 3:30p.m.,Closed,-34.0430625,18.586812499999994
Amethyst Body Art,,,https://amethystbodyart.com/,+27 71 927 9773,19 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,Closed,-33.8221875,18.480562499999976
Secret Garden Tattoo,,,,+27 82 944 0491,161 Main Rd - Plumstead - Cape Town - 7800 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,Closed,-34.02131249999999,18.4675625
Whittleink Tattoo Studio,,,https://www.facebook.com/WhittleInkFamily/?ref=pages_you_manage,+27 83 680 4047,186 Metropolitan St - Beacon Valley - Cape Town - 7785 - South Africa,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,10a.m. - 7p.m.,10a.m. - 5p.m.,-34.0388125,18.625187499999996
Samurai Empire Tattoo Studio,,,,+27 79 412 8522,Tygervalley - Shop 2 - Cascades 1 Tyger Waterfront - Cape Town - 7785 - South Africa,Closed,Closed,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,11a.m. - 8p.m.,-33.8755625,18.628437500000004
Ink & Cbd Studio 85,,,,+27 65 993 6151,Parklands Park West Centre Unit 12A2 - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,Closed,-33.8104375,18.511062499999994
Skin Vandal Tattoos,,,business.site,+27 73 790 5732,31 Coway St - Diepwater - Cape Town - 7580 - South Africa,8a.m. - 4a.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,10a.m. - 4p.m.,-33.9734375,18.660062499999995
Needles & Pins Tattoo,,,https://needlespins-tattoo.business.site/,+27 61 419 3694,Shop 2 Triangle Square - Cnr de Waal & - 1st Cres - Fish Hoek - Cape Town - 7974 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-34.1358125,18.4315625
"""R""""Ink Tattoos Sa""",,,https://rink-tattoos-sa.business.site/?utm_source=gmb&utm_medium=referral,+27 71 359 2095,18 Marlborough St - Marlborough - Cape Town - 7500 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 2p.m.,-33.8520625,18.70031249999998
Gray'S Ink,,,https://grays-ink.business.site/,+27 62 341 9226,4 Stag Cres - Mitchells Plain - Cape Town - 7785 - South Africa,6 - 9p.m.,6 - 9p.m.,6 - 9p.m.,6 - 9p.m.,5:30 - 10p.m.,10a.m. - 10p.m.,Closed,-34.0543125,18.62781249999999
Pennyred Tattoo Supplies (Pty)Ltd. & Tattoo Studio,,,https://www.pennyred.co.za/,+27 83 265 8344,Sunningdale - Cape Town - 7441 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2p.m.,Closed,-33.8111875,18.49043749999997
Ink 'N Steel - Tattoo & Piercings,,,https://ink-n-steel-tattoo-piercings.business.site/?utm_source=gmb&utm_medium=referral,+27 71 338 3785,Shop 2B De Bron Centre - Gardener St - Vredekloof Heights - 7560 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.,Closed,-33.856812500000004,18.690437499999987
True Black Tattoo Training,,,,+27 84 569 1406,2 Long St - Cape Town City Centre - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 1p.m.,Closed,-33.9184375,18.4230625
Murder Ink Tattoo & Piercing Lounge,,,,+27 21 811 1779,116 Lang St - Kuils River - Cape Town - 7580 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,11a.m. - 4p.m.,Closed,-33.93168750000001,18.681687499999995
Hood Ink,,,,+27 78 783 5615,26B Lower Main Rd - Observatory - Cape Town - 7935 - South Africa,,,,,,,,-33.94168750000001,18.468937499999996
Black Rose Tattoos,,,,+27 73 023 0746,363 Albert Rd - Woodstock - Cape Town - 7915 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed,-33.9274375,18.45631249999998
Tainted Skin Tattoo Studio,,,,+27 79 698 1962,Murray St - Vasco Estate - Cape Town - 7460 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,Closed,-33.90981250000001,18.557937499999994
'S' Tattoo Supplies And Skincare Products,,,https://s-tattoo-supplies.business.site/?utm_source=gmb&utm_medium=referral,+27 68 055 5555,269B Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 2p.m.,Closed,-33.9044375,18.593062499999988
Aya Soul Tattoos,,,pingils.co.za,+27 82 564 9992,222 Sir Lowry Rd - Zonnebloem - Cape Town - 7925 - South Africa,Closed,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.9279375,18.439812500000002
Brightstar Tattoo And Piercing Studio,,,,+27 74 782 7640,15 Oxford Cres - london village - Cape Town - 7785 - South Africa,Closed,Closed,Closed,Closed,Closed,9a.m. - 6p.m.,9a.m. - 5p.m.,-34.0244375,18.579437500000026
Rotten Apple Tattoo Studio,,,,+27 78 936 7861,Shop 276 Retreat Rd - Retreat - Cape Town - 7945 - South Africa,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 3p.m.,Closed,-34.0585625,18.46681249999996
